,Survived,Age,Parch,Fare,FamilySize,IsAlone_1,Pclass_2,Pclass_3,Sex_male,Deck_DE,Deck_FG,Deck_U,Embarked_Q,Embarked_S
0,0,22.0,0,7.25,2,False,False,True,True,False,False,True,False,True
1,1,38.0,0,71.2833,2,False,False,False,False,False,False,False,False,False
2,1,26.0,0,7.925,1,True,False,True,False,False,False,True,False,True
3,1,35.0,0,53.1,2,False,False,False,False,False,False,False,False,True
4,0,35.0,0,8.05,1,True,False,True,True,False,False,True,False,True
5,0,29.69911764705882,0,8.4583,1,True,False,True,True,False,False,True,True,False
6,0,54.0,0,51.8625,1,True,False,False,True,True,False,False,False,True
7,0,2.0,1,21.075,5,False,False,True,True,False,False,True,False,True
8,1,27.0,2,11.1333,3,False,False,True,False,False,False,True,False,True
9,1,14.0,0,30.0708,2,False,True,False,False,False,False,True,False,False
10,1,4.0,1,16.7,3,False,False,True,False,False,True,False,False,True
11,1,58.0,0,26.55,1,True,False,False,False,False,False,False,False,True
12,0,20.0,0,8.05,1,True,False,True,True,False,False,True,False,True
13,0,39.0,5,31.275,7,False,False,True,True,False,False,True,False,True
14,0,14.0,0,7.8542,1,True,False,True,False,False,False,True,False,True
15,1,55.0,0,16.0,1,True,True,False,False,False,False,True,False,True
16,0,2.0,1,29.125,6,False,False,True,True,False,False,True,True,False
17,1,29.69911764705882,0,13.0,1,True,True,False,True,False,False,True,False,True
18,0,31.0,0,18.0,2,False,False,True,False,False,False,True,False,True
19,1,29.69911764705882,0,7.225,1,True,False,True,False,False,False,True,False,False
20,0,35.0,0,26.0,1,True,True,False,True,False,False,True,False,True
21,1,34.0,0,13.0,1,True,True,False,True,True,False,False,False,True
22,1,15.0,0,8.0292,1,True,False,True,False,False,False,True,True,False
23,1,28.0,0,35.5,1,True,False,False,True,False,False,False,False,True
24,0,8.0,1,21.075,5,False,False,True,False,False,False,True,False,True
25,1,38.0,5,31.3875,7,False,False,True,False,False,False,True,False,True
26,0,29.69911764705882,0,7.225,1,True,False,True,True,False,False,True,False,False
27,0,19.0,2,263.0,6,False,False,False,True,False,False,False,False,True
28,1,29.69911764705882,0,7.8792,1,True,False,True,False,False,False,True,True,False
29,0,29.69911764705882,0,7.8958,1,True,False,True,True,False,False,True,False,True
30,0,40.0,0,27.7208,1,True,False,False,True,False,False,True,False,False
31,1,29.69911764705882,0,146.5208,2,False,False,False,False,False,False,False,False,False
